riddle,choice0,choice1,choice2,choice3,choice4,label
Without me you will surely die.  Too much of me and like a pig you may lie.  What am I?,cafeteria,food,meat,meals,ihop,1
I have four legs.                                                   I live in Africa. I am big and grey. I live in the river.  What am I?,elephant,hippo,tiger,giraffe,alligator,1
"We are a pair, We can dart here and there, Though we always stay in one place. We can smile or shed tears, Show our pleasure or fears What are we?",lips,ears,eyes,second,before,2
"Man walks over, and man swims under. In times of war, it can be burned asunder. What is it?",Atlantic,bridge,highway,train tracks,tunnel,1
"Looking for something? Open me. I'm sure that your something inside of me lies. Of course you can always find hope in me (Though despair must come first; and later, surprise), What's sought, though, depends on the seeker - One looks for bobbin; another, for beaker; Others, for nature; still others, for nurture - The quarry will vary from searcher to searcher. And yet (I suspect this will strike you as strange), My contents are set and will not ever change. If you cannot still guess what I mean, here's a clue: The answer - what I mean - lies inside of me, too. What am I?",thesaurus,language,definitions,dictionary,oxford,3
What is white outside and yellow inside?,muffin,egg,avocado,chicken,omelette,1
"I come in handy, I'm usually small, Some people use me when they get a call. Use me for school, people forget about me without a care, Put me by your ear, or even in your hair. What am I?",crayon,paintbrush,pencil,eraser,sharpie,2
"I am extremely heavy, yet I fly through the air. Not many people understand.how I stay up there. Almost everyone sees me, as overhead I fly by. Not seen on the ground, found only in the sky.",sunset,cloud,terra,wol,sky,1
"Though in theory I am always behind you, I am also around to  remind you. But in case it's your way to give me too much  .say, I can hamper or, even worse, blind you.  What am I?",hindsight,breath,future,history,past,4
When a doctor hits you with a hammer he is testing this.,dexterity,adrenaline,instinct,bullet,reflex,4
"My first displays the wealth and pomp of kings, Lords of the earth! their luxury and ease. Another view of man, my second brings, Behold him there, the monarch of the seas!  But, ah! united, what reverse we have! Man's boasted power and freedom, all are flown; Lord of the earth and sea, he bends a slave, And woman, lovely woman, reigns alone. - From ""Emma"" by Jane Austen. What is being referred to in this poem?",marriage,monogamy,ihop,courtship,cafeteria,3
You use me but can't see me. Some use me to attract attention. While others use me to express their self. What am I?,smile,lips,scowl,cheeks,smirk,0
"I was the second president to die in office, who am I?",Andrew Jackson,George Washington,Abraham Lincoln,Zachary Taylor,president,3
"In many hallways you would stand, if not with this in hand.",spacebar,Maine,key,Hawaii,ignition,2
What was the president of the United State's name in 1980?,Hillary Clinton,Joe Biden,president,Donald Trump,Barack Obama,4
"If what goes up must come down, what comes down that must go up?",Thursday,moon,night sky,Friday,sun,4
Cats and deflation tires make this noise. What am I?,peacock,pet,squirrel,hiss,bark,3
"In addition to the dental benefits, having one of these hanging out of your mouth will make you look like a wiseguy.",fingernail,tweezers,paintbrush,toothpick,butter knife,3
"My first is in beauty, but not teary. My second is in flutter, but not reflect. My third is in petal but not leaf. My fourth is in tulip, but not pail. My fifth is in elf, but not fairy. My sixth is in rose, but not lose. My seventh is in flower, but not tower. My eighth is in leaf but not fear. My ninth is in youth but not truth. What am I?",cafeteria,bee,butterfly,ihop,spider,2
"This riddle describes a verb, but be careful because the answer isn't what you first think it is:  Acting on both hay and sack.They say it's a wonder if I do only one.Both brick wall and skids I will attack.The answer is when I fail to get done",sister,loved,forget,miss,son,3
I am the key that is the hardest to turn. What am I?,Maine,donkey,horse,Hawaii,goat,1
"A man left an inheritance of $10,000 to three relatives and their wives. Together the wives received $3960. Janine received $100 more than Cathy, and Maria received $100 more than Janine. Joe received the same amount as his wife, Hary got half as much again as his wife, and Tom received twice as much as his wife. How much did each receive?",Bernal,Quintana,Pato,canter,Carthy,4
Steals an event or even a mood. Reveals the truth or shatters it.,tripod,camera,microphone,viewfinder,camcorder,1
"What has no beginning.And has no end.Goes on forever.Has only one path, never any bend.No one can travel its whole length.In the space of one world.Except times strength.It never varies from its one gait.And here's one hint more: It takes refuge in a figure eight. What is it?",cube,infinite,cardinality,infinity,avengers,3
It's anything but amusing when this body part gets hit.,elbow,Atlantic,funny bone,groin,highway,2
What has branches and leaves but has no bark?,corset,documents,underwear,library,bookstore,3
"I make a loud noise when I__ changing, and I grow larger and weigh less when I do. What am I?",beer,nachos,skittles,popcorn,ice cream,3
Diaphragm Arm Mirror Eyepiece,naked eye,magnifying glass,lens,otoscope,microscope,4
"This dancer performs .For judges, most cautious. When he's surmounted .Is when he's victorious.",stairs,bobber,escalator,fishing hook,pool noodle,3
"The strongest chains will not bind it. Ditch and rampart will not slow it down. A thousand soldiers cannot beat it, it can knock down trees with a single bush.",hyphen,rain,comma,water,wind,4
"When young, I am sweet in the sun. When middle-aged, I can help to make you healthy. When old, I am valued more than ever What am I?",watermelon,grapes,avocados,tomatoes,strawberry,1
"Akoy sakay ng bus (ALPS) punta ng maynila , pito kami 2lalaki at5 babae takbo uli ang bus, maysumakay uli na 10 5 babae 5  lalake may bumaba na  4 , 2lalake 2 babae . May sumakay uli 15  kalahati ay babae  at kalahati  takbo uli ang bus , may bumaba na lima  lahat ay lalaki, takbo uli ang bus , may smakay na naman 10 kalahati uli babae at kalahati uli ay lalake takbo uli ang bus may sumakay ulina 7 lahat ay lalaki  takbo uli ang bus  may bumaba na 84 nababae at 4 nalalake samadalit  sa bi naka rating din sa terminal sa may nila ang bus . Ito ang tanong?Ilang katitgil ng bus simula batangas hanggang sa maynila?",yea,lol,weird,yeah,idk,4
"In Tennis I'm zero, To Many I'm A Hero.  What Am I?",love,gorgeous,adore,envy,hate,0
When getting someones attention. This is what you might try to catch. And if youre a pirate at sea. It might be covered by a patch. What am I?,before,second,ring,cornea,eye,4
I was born a blonde. I lived with the brown hair. I died a redhead. And buried as a brunette. What am I?,pinfall,match,main event,knockout,Hhh,1
"You'll have to move quickly to solve this riddle, Because then you'll understand me and not get in a fiddle, You will usually find me in something embedded, It might be in skin or an object instead, I am also a part of a popular sport, Where a double is needed for a round to abort, In a jungle setting, I might be spotted, To administer my poison so prey can be thwarted.",chessboard,fireball,frisbee,dart,grenade,3
What bird can write?,giraffe,penguin,duck,dolphin,shark,1
"I am a room, but you cannot enter me. Sometimes I__ poisonous, and sometimes I__ delicious to eat. What am I?",tomatoes,broccoli,basil,mushroom,cactus,3
"5 bricks construct me, you'll find a candle in the middle. I am the antithesis of heavy, Without me you couldn't read the riddle.  What am I?",sun,weird,contradictory,light,darkness,3
An action done on mosquito bites. What am I?,designing,scratch,highway,Atlantic,c++,1
"I have six faces but not even one body connected, 21 eyes in total but cannot see. What am I?",respawn,lava,dice,devs,glacier,2
I can only be played on a windy day. What am I?,kite,flank,backstab,melee,jungle,0
"What has a spine, but no bones?",chapter,book,sister,novel,daughter,1
"Had by few but treasured by all,I'm on the inside and outside and I make men fall.What am I?",elegance,sexiness,nailbiter,beauty,match,3
"Crying tears is what I do, During the day, but at night too. I can give you a bang and light up your life, One minute you're great, the next you're in strife! But I can also bring color and make your life warm, Without me, there would be nothing, Not much would be born!",pillow,tissue box,forecast,weather,rain,3
It is young but not that old. It gives you money. What is it?,mom,babysitter,dad,daughter,mother,0
One day a man went to a store to get some change. When he did that the employe kicked him out of the store. But the man did come out changed- and he didnt fell guilty.  What store did he go to?,clothing store,supermarket,door,ceiling,mall,0
I carried by mad animals. What am I?,virus,measles,rabies,polio,vaccine,2
"In buckles or lace, they help set the pace. The farther you go, the thinner they grow.",hyphen,comma,socks,shoes,sandals,3
"I fill the page with a thousand words, yet with no words at all, what am I?",picture,thumbnail,comma,hyphen,selfie,0
Securing your documents is easy with these trusty metal objects.,kiosk,pencil,staples,mainstays,tissue box,2
I live where darkness seals my fate.Coming up to the rigid gate.So I've been told.My soul is a big black hole.I'm constantly in war.With those above my domain.Those who meet me.Regret they ever did,sin,antichrist,devil,boyfriend,mother,2
"Your reflection can be seen here, as long as you’re not moving.",ocean,grape,sediment,water,cucumber,3
I brighten your day but live in the shade. What am I?,ceiling fan,lantern,lamp,bulb,flashlight,2
"It is a part of us, and then replaced. It escapes our bodies, to a better place. The world becomes its sizeable home. Its passions unrestrained, the planet it roams.",ocean,sediment,grape,cucumber,water,4
"What goes up, lets out a load, then goes back down?",stairs,hallway,elevator,staircase,escalator,2
"A very pretty thing am I, fluttering in the pale-blue sky. Delicate, fragile on the wing, indeed I am a pretty thing. What am I?",butterfly,spider,ihop,cafeteria,bee,0
Wearing a dress of vivid bright green.A bodice of pale tan.Showing off my sparkling clothes.As splendidly as I can. Wearing a dress of vivid dark green.A bodice of lovely brown.I go to my wardrobe and start to change.Into my party gown. Wearing a dress of beautiful scarlet.A bodice of pale green.My clothes fall off and I open my mouth.Let loose a silent scream. Wearing a dress of snowy white.A bodice of white as well.A silver cloak around my shoulders.Tinkling with glass-blown bells.,syrup,maple,compass,oak,island,1
What action does this symbolize? o/\o,High Five,Taters,four,Movin,six,0
My first offers a variety of drinks.My second defines the way a program thinks.My whole can be read as fast as the eye blinks. What am I?,comma,hyphen,kiosk,receipt,bar code,4
Score in end zones. What am I?,touchdown,endzone,butler,Apollos,chiefs,0
jk abcdefghi lmnopqrstuvwxyz,derail,insinuate,rhetorical,hijack,sabotage,3
"An early morning shake disturbs .A chunk of brick falls into the curb. Many people panic and shout.It's a disaster, without a doubt. Wreckage everywhere, glass in the street.Some people lie still; Death, they did not cheat. And all this, as weird as it may sound.Was caused by a fault in the ground. What is described here?",meteor,earthquake,tornado,hurricane,explosion,1
"I have lasted many years and still feel young. I have lasted depressions, recessions and even millenniums. I'm richer than the richest of men. You can visit me, but not my owners. I've been shown on T.V. and I can take and give you what is yours, but only if you ask me to. So tell me who or what I am?",debt,accountant,bank,credit union,checking account,2
"It has rib bones and back bones. It swallows human beings whole, then spits them out alive. What is it?",tissue box,pillow,apartment,garage,house,4
A metal snake that runs on tracks.,subway,hyphen,comma,station,train,4
"Even though I have the same name, I can be many things such as music, mathematics or cloth. I can even be an object thrown by a referee to indicate a penalty. I can be an extension of the wrapper shaped to finish the head of the cigar. In England, I'm more refined, because I can be a five-pound note.  What am I?",duct tape,eagle,dental floss,flag,emblem,3
"I can run but cannot walk, everywhere you go I am already there. What am I?",throat,forehead,lips,chin,nose,4
You tear my body but you also cry?,celery,tomato,onion,sausage,garlic,2
I am at the beginning of all things. I am at the end of eternity. There is but one path from my beginning to my end. My whole embodies indifference. What am I?,resentment,laziness,ignorance,apathy,anger,3
"My first is in house, but not in dwelling. My next is in love, but also in hate. My third is in tears, but it's not in crying. My fourth, in relationship, not in date. My last, in doubt, but also devout. Tell me now, no need to shout, what precious organ you can't live without.",second,blood,stomach,before,heart,4
I'm mean I'm green I am a eating machine. What am I?,garden,venus flytrap,hydrangea,larch,squirrel,1
"I was once alive, a creature of flesh and bone. I did not survive, now I am but stone. What am I?",asteroid,coal,fossil,jewel,carbon,2
"I destroy rock and mountains.  I wear down the toughest.  Most of me will kill you,  But the richest use me without consequence.   What am I?",cucumber,ocean,sediment,grape,water,4
"I have three eyes and one leg. If you disobey me, you will surely be punished. What am I?",weird,freeway,traffic light,pedestrians,contradictory,2
Special friend.Always near.At world's edge.At Earth's core. Crazy.Rational.Ludicrous.Normal. Before time.Beyond space.High in the sky I fly.Deep in caves I'm found.To you I'm bound.What am I?,imagination,creativity,emotions,figment,logic,0
What is the Alligator's favorite shoes?,converse,carhartt,alligator,crocodile,crocs,4
"I am easy to see, but no one likes looking at me. Without me, there would be no you. I can make you complain, or make you happy. But you almost always take me for granted. What am I?",sun,night sky,Friday,Thursday,moon,0
"Which word does not belong? Hat, What, Spat, That, or Chat?",tounge,fucker,stood,lips,spat,4
"I have been chased by four creatures for years, They never give up until I get a burst of energy, Even when I finally eat all of the dots, More just keep coming and coming. I am of basic shape, usually yellow and round, I need help moving around, There are many walls and intersections, It is hard for me to tell which way I should go. People guide me through these mazes, They all try to make me dodge these creatures, But many fail, there is just too much to go through, So tell me, who am I?",Kirby,Pac-Man,mario,Luigi,Bowser,1
Thousands of these come together to make a digital image. What is it?,pixel,camera,3a,iphone,s9,0
"Not a priest, not a king but wears different kinds of clothes.",clothesline,turnbuckle,top rope,noose,trampoline,0
"All about the house, with his lady he dances, yet he always works, and never romances.",Atlantic,broom,highway,vacuum cleaner,mop,1
"He stands beside the road. In a purple cap at tattered green cloak. Those who touch him, curse him.",dandelion,thistle,gooseberry,chamomile,rhubarb,1
"What goes in the water red, and comes out black?",copper,charcoal,aluminum,iron,steel,3
What is not dry nor wet but can be both?,lava,puck,glacier,ice,snow,3
Bold are the first; true are the second; playful are the third; clever are the fourth; forceful are the fifth.,brave,smart,proud,pillow,tissue box,0
This became a fashion statement in the garden of Eden.,pretense,moon,clouds,plausible deniability,fig leaf,4
"Round, I am a swing. Open, I am inviting. Full, I am winning. Green, I am steaming. What am I?",pillow,garage,house,tissue box,apartment,2
"You wake me in the mornings, and talk to me all day. But I would oft prefer that you had nothing to say. I love having you around, and at times I want to throw you to the ground. I love the way you hang so close, right there at my side, But sometimes when you call to me, I hang my head and sigh.",recorder,speaker,seatbelts,cell phone,license plate,3
"If you want me to cover you, don't think that I will remain light forever because I will be so heavy only for those who came to me lately. But I will be easy if you come to me early. Who Am I?",bed sheet,underwear,comforter,envy,gorgeous,0
"""What do you not want someone to do if you tell them: ""DJM""?""",determine,judge,idk,question,rumor,1
"My first, a tongue in Europe found.My second makes a sizzling sound.My whole comes from under the ground. What am I?",ketchup,McDonalds,kfc,French fries,mcnuggets,3
"We are two brothers on opposite sides of the road, but we never see each other. Who are we?",ears,eyes,before,lips,second,1
"What flies forever, rests never?",water,comma,wind,hyphen,rain,2
"Tall when seated, short when standing.",silhouette,cat,puppy,sky,dog,4
"I am a cave full of bones, and the house of a worm. What am I?",tongue,cheeks,mouth,eyelids,hand,2
"Whether I am short or long, I may hurt if you use me wrong. You should use me everyday, Those who neglect me will end up having more money to pay.  Come on and use me I won't bite, If you don't, you'll end up having more to fight.  Use me for a minute or two please, I will help you with that cheese.  I am sorry if I make you bleed, You are the person in the lead.  Take your time, and you'll be fine. You will thank me down the line.  What am I?",toothbrush,deodorant,dental floss,shampoo,toothpaste,0
"I come out of the earth, I am sold in the market. He who buys me cuts my tail, takes off my suit of silk, and weeps beside me when I am dead.",garlic,celery,sausage,tomato,onion,4
This can be used to flatten clothes. Or in golf to hit a ball. This goes before a movie Man. And is a type of metal. What is it?,steel,charcoal,aluminum,copper,iron,4
The land was white the seed was black  It'll take a good scholar to riddle me that. What am I?,eye,before,second,cornea,ring,0
"Spending quality time with the family is important, but you might not always have the time to pull out a board game or watch a movie. When you__e looking for something that will keep everyone entertained in a short amount of time, try these what am I riddles and answers for kids that we have prepared for you. They__e separated into categories from easy to hard, so you can enjoy these riddles with everyone of all ages in the family. You can enjoy these while you__e at the dinner table, in a waiting room, keeping the kids entertained while traveling, or just looking for a way the family can spend quality time together.Easy Riddles and Answers for Kids. I__ hot and I live in the sky. I__ bright, don__ look directly at me. I will disappear at night. What am I?",Thursday,Friday,moon,sun,night sky,3
"What force and strength cannot get through, I with a gentle touch can do. And many in the street would stand, were I not a friend at hand.  What am I?",Maine,spacebar,key,ignition,Hawaii,2
What kind of shoes can you make out of banana peels?,eyelids,slippers,cheeks,sandals,socks,1
I run all around the pasture but never move. What am I?,shelter,drawbridge,fence,ceiling,tunnel,2
What does someone else have to take before you can get?,temperature,gorgeous,photograph,selfie,self-portrait,2
"You talk through me, but to someone else. I never forget without your permission. You can't live without me. What am I?",recorder,speaker,seatbelts,license plate,cell phone,4
When it is cold I expand and when it is warm I contract. What am I?,ocean,water,grape,sediment,cucumber,1
"I can often be found sitting up in a tree. I am made of grass, sticks or mud. I keep feathered families safe. What am I?",thermostats,lips,forehead,hornet,nest,4
"If to five you join six and one-eighth of eighteen, You'll find what in some people has never been seen.",intellect,blood,wit,hypnotism,alchemy,2
"I am hot then cold, a liquid then solid, and I am at once flaky and wet. What am I?",silicone,oils,waterfall,valley,wax,4
"I am an animal that's black, white, and Asian. What am I?",tiger,monkey,owl,panda,turtle,3
"A group of campers have been on vacation so long, that they've forgotten the day of the week. The following conversation ensues. Darryl: What's the day? I don't think it is Thursday, Friday or Saturday. Tracy: Well that doesn't narrow it down much. Yesterday was Sunday. Melissa: Yesterday wasn't Sunday, tomorrow is Sunday. Ben: The day after tomorrow is Saturday. Adrienne: The day before yesterday was Thursday. Susie: Tomorrow is Saturday. David: I know that the day after tomorrow is not Friday. If only one person's statement is true, what day of the week is it?",Friday,Wednesday,Tuesday,Thursday,Tomorrow,1
"What is everybody born with, some died with but some died without",mom,sister,aunt,husband,mother,4
My first contains one's innermost feelings.My second sends one's enemies reeling.My whole likely brings its victim keeling. What am I?,heart attack,headache,dwarf,before,second,0
I go around a cloth napkin. And inside a pierced ear. I adorn a married finger. And I'm a phones sound you hear,will,necklace,amulet,ring,doubt,3
What are you doing if you text this: :'(,sobbing,crying,bawling,doubt,will,1
"You have three stoves: A gas stove, a wood stove, and a coal stove, but only one match. Which should you light first?",Hhh,match,main event,knockout,pinfall,1
"What word is the same written forward, backward and upside down?",Monday,9pm,6pm,midnight,noon,4
It keeps you on the ground and stops things from floating around. What is it?,buoyancy,helium balloon,gravity,geometry,air resistance,2
i am as long as well as short as possible  i move as fast as possible i am with my friends every where. who am i?,cucumber,boundary layer,grape,solid object,water wave,4
It's where the wind comes sweeping down the plain. Not to mention the waving wheat.,Oklahoma,Mississippi,Alabama,Ohio,Texas,0
"I am essential to life, yet I can take your breath away. I am both in you and around you. What am I?",cucumber,ocean,water,grape,sediment,2
I look at you when you look at me. Is my secret twin I see? You follow my actions and all that I do. I am just another copy of you! What am I?,mirror,agony,lens,reflection,purity,3
Which bird is tall and rich?,alligator,ostrich,elephant,giraffe,kangaroo,1
I am a word of five; spelled and read the same backward and forward; the mother of all takes her position at the center of me. My first and last letters are found in letters and flatters. What am I?,level,hyphen,crook,comma,skill,0
"What has an end but no beginning, a home but no family, and a space without room?",controller,Maine,mouse,Hawaii,keyboard,4
Some adults still use these to count.,finger,eyeball,toothpick,tongue,toes,0
What grows up and down at the same time?,goose,contradictory,rabbit,weird,duck,0
"They are Dark, and always on the run. without the sun, would be none.",reflections,silhouette,shadows,rise,sky,2
Jason decided to give his bike 3 coats of paint. Which coat would go on the first?,favorite,first,third,second,halfway,3
Minerals are found in me. And I am found in minerals too. What am I?,Snape,Barty Crouch Jr,mine,yours,my,2
"You don't like them. You don't even need them. But you don't want them to leave. And when they leave, you cry.  What are they?",sweat,hyphen,tears,laughter,comma,2
DOCTOR CAME TO THE HOUSE AND GAVE A MEDICINE BUT HE RAN AWAY WHILE I AM GIVING MONEY?,mosquito,housefly,wasps,bird,ant,0
What goes up white and comes down yellow?,muffin,avocado,chicken,omelette,egg,4
"This Cajun dish of rice with shrimp, chicken, and vegetables, is often enjoyed with cornbread.",soup,carnitas,jambalaya,meatloaf,macaroni,2
I store fire-breathing animals. What am I?,fates,cave,dungeon,raid,labyrinth,2
I am present in a laptop. I am also a human's t-shirt. I have the highest mark in class. I am usually described as something above. What am I?,highway,bottom,billboard,top,Atlantic,3
"What kind of a band, never plays music?",waterfall,paper clip,valley,rubber band,electrical tape,3
"People go to me.and so do boats. The boats bring the people, and the people bring the boats.  What am I?",dentist,patient,surgeon,doc,psychiatrist,3
I'm not pants but I have pockets; I can't dance but I have four legs. I come in different sizes depending on the size of the room. What am I?,Thursday,mini golf,billiards,Pool table,calendar,3
The answer to this riddle starts as such you see Though as soon as you know it can now never be,wait,rumor,dunno,idk,guess,4
My first is in fish but no in snail. My second is in rabbit but no in tail. My third is in up but not in down. My fourth is in tiara but not in crown. My fifth is in tree you plainly see. My whole a food for you and me.,fruit,tissue box,grapes,vegetables,pillow,0
"I make things short, but I am pretty long myself. What am I?",alphabet,abbreviation,surname,nickname,acronym,1
I have wings but I'm not a bird I am small and colorful. I live in gardens and fields and forests. I used to be a caterpillar.  I am a.,spider,bee,cafeteria,butterfly,ihop,3
"If there were ten fish in an enclosed tank, and four swam away, three died, and three drowned, how many fish would be left?",six,eight,five,four,seven,4
"This is a kitchen appliance. If your height's 3 feet, this is taller. It has different food stored inside. It's not room temperature but cooler",fridge,freezer,tub,microwave,refrigerator,4
"I'm always smiling, sweet and very affectionate, I love flying kites, and becoming a butterfly, thats right",Brooke,Porkchop,Valentina,Naomi,Farrah,2
"I am the horse that is feared the most, I am the mare that has no hair, all do ride on what I provide, with breath of fire. Now what is dire?  What am I?",nightmare,clusterfuck,scary,godsend,sleeplessness,0
where does a cup have handle?   by navaneeth,from,beyond,alone,outside,inside,3
What Does A Man Have In His Trousers That A Lady Doesn't Want In Her Face?,kidney,cellulite,pimples,urine,wrinkles,4
I am sometimes referred to as chips. What am I?,ketchup,kfc,McDonalds,french fries,mcnuggets,3
What might a rapper call those who disapprove of him?,sourpuss,haters,snowflakes,shills,fanboys,1
"Its fleece is warm and wooly white. And when you lie awake at night, count it and you'll fall asleep. What is it?",parrot,chickens,pigs,cow,sheep,4
This large green melon has red pulp inside and watery juice. Best enjoyed cold on a hot summer day.,pineapple,cucumber,banana,grape,watermelon,4
I'm a country but I'm not Russia. I'm in the southern hemisphere but I'm not Argentina. I'm popular with surfers but I'm not South Africa. I'm surrounded by water but I'm not Madagascar. I'm sometimes called Oz but I dont have anything to do with wizards. What am I?,England,Ireland,Australia,Singapore,Canada,2
"Someone of such importance who is to not be ignored. From any person lower he is sure to be adored. With rings filled with diamonds no common man affords. Often portrayed on a chess board with dignity and lords. If found in the jungle, sure to chill your spinal cord. So tell me now my friend, what are you leaning toward?",king,wealth,prince,throne,electricity,0
What do you give to others but still try and keep?,vow,doubt,promise,will,bet,2
"There is one word that stands the test of time and holds fast to the center of everything. Though everyone will try at least once in their life to move around this word, but in fact, unknowingly, they use it every moment of the day. Young or old, awake or in sleep, human or animal, this word stands fast. It belongs to everyone, to all living things, but no one can master it. The word is?",geometry,helium balloon,gravity,buoyancy,air resistance,2
This looks a bit like a lizard. Its wings help it fly higher. It is a mythical creature. Thats able to breathe fire. What is it?,raven,drogon,goblin,dragon,castle,3
"If a man carried my burden, he would break his back. I am not rich, but I leave silver in my track. What am I?",snail,lizard,frog,bee,turtle,0
I am a word of six; my first three letters refer to an automobile; my last three letters refer to a household animal; my first four letters is a fish; my whole is found in your room. What am I?,curtain,carpet,mattress,baseboards,bed sheets,1
"You fill it and it empties, A metaphor for plenty, Depending on what half you see, It's either full or empty.",conference finals,spoon,coffee,championship,cup,4
What kind of nail can be grown?,toothpick,tweezers,razor blade,fingernail,eyeball,3
What has two ends but no beginning?,rope,noose,pillow,shoulder,pole,0
"You'll put me in your mouth almost every day, And when you reach me you decide, which way?",skewers,fork,chopsticks,spork,spoon,1
"The King and A Butler walk into a room, they lock all the doors behind them, the room has no windows. A night passes and the next day 3 people walk out of the room, Who is the 3rd person?",knight,prince,sword,castle,warrior,0
"I am two-faced but bare only one, I have no legs but travel widely. Men spill much blood over me, kings leave there imprint on me. I have greatest power when given away, yet lust for me keeps me locked away. What am I?",cryptos,token,valley,waterfall,coin,4
I'm number three. But I'm not a number. I'm hot and cold at the same moment but not at the same time. I'm number three. But I'm not a number.Who or what am I?,galapagos,Planet earth,Carbon dioxide,pluto,Antarctica,1
I have wings but I'm not a bird. I have a bow and arrow but I'm not Robin Hood. I'm a Roman god but I'm not Mars. I look like a baby but I dont wear a diaper. I'm associated with love but I'm not a heart. Who am I?,Aphrodite,Cupid,coffee,spoon,Cleo,1
"""What does ""PLZ"" mean?""",spam,pls,message,plz,please,4
"I'm a small, yellow finger-shaped sponge cake with a white synthetic cream filling.",chicken nuggets,BigMac,twinkies,doughnuts,skittles,2
"I have no face, but everyone knows me.  I grow stronger and larger .as I age and I'm impossible to track.  I feed off the innocent, and my .followers are weak. I ruin friendships, relationships, and jobs. What am I?",myth,urban legend,grapevine,rumor,idea,3
I am everything to somone but nothing to everyone else. What am I?,comma,hyphen,consciousness,mind,matter,3
A riddle that you cannot answer.,infinity,contradiction,time travel,impossibility,paradox,4
Its days are numbered.,calendar,bullet journal,date,planner,holiday,0
"""What do you use to ""nuke"" food?""",refrigerator,freezer,oven,fridge,microwave,4
"""I am a 7 letter word. The last 3 letters can be used for the letter, ""broom."" The first 3 letters is the name of an object you need if you want to sleep confortably. The last 4 letters is a place in your house, maybe in a mall, etc. What letter am I?""",townhouse,apartment,basement,bedroom,garage,3
"Travel a mile and I will change, travel a million and I will end as I started. What am I?",stoplight,bmw,odometer,corolla,speedometer,2
"When I'm metal or wood, I help you get home. When I'm flesh and I'm blood. In the darkness I roam.",bat,homerun,hitter,pillow,shoulder,0
"Often I rhyme, But not always it seems. As a small child I precede your dreams. Not quite a story, Not yet a tale, Yet with amusement I will regale. What am I?",nursery rhyme,refrain,lyric,haiku,syllables,0
"""What does the ""F"" in ""FAQ"" stand for?""",dozens,frequently,constantly,sometimes,troublesome,1
"What starts with a P, ends with an E and has a million letters in it?",mailman,hyphen,post office,comma,curbside,2
"I had a bright start, but I couldn't take the pressure. I consume everything, yet I don't eat anything. What am I?",sky,black hole,solar system,event horizon,silhouette,1
"I am larger than castle, lighter than air, yet a thousand men could not move me",glow,sky,silhouette,storm,shadow,4
"To unravel me.You need a simple key; No key that was made.By locksmith's hand, But a key that only I.Will understand. What am I ?",everything,glyph,riddle,cipher,none,3
What color is the wind?,exploded,killed,blew,Atlantic,highway,2
"It doesn't breathe, It has no feeling. It cannot hear, Nor can it speak. But when you look at it, It seems to know what you do, Always mimicking and staring back at you.",lens,reflection,mirror,purity,agony,1
"What is in you and is said to be broken without being touched, held or seen?",stomach,second,before,heart,blood,3
"One by one we come to life, Then side by side we wait.While our company swells in numbers.(Some come early, some come late); Some of us may bore you, And some of us enthrall, But you cannot choose between us.You must take us one and all. We'll be bound together tightly.For we're naught if we break free. If you would like to know about us, Then answer : WHAT ARE WE?",autobiography,prologue,chapters,episodes,diary,2
"Water on wind; Light, I rescind. What am I?",cloud,terra,sunset,sky,wol,0
What word has three syllables and twenty six letters?,language,consonants,vowels,alphabet,corporation,3
"I met a man on the London bridge, he tipped his hat and drew his cane, in this riddle I told you his name. What is it?",Joe,David,Andrew,John,Chris,2
"I am a righter of wrongs, I hang down from above, I am coiled like a snake, I am tight as a glove.  What am I?",handcuffs,gallows,rope,hanging,noose,4
What goes all around a hockey rink but never moves?,risers,skates,preservatives,yeast,boards,4
"""What is: ""NRG""",blues,veins,energy,everything,none,2
"You have a sock drawer.  It has 4 black socks, 8 brown socks, 2 white socks and 8 tan socks.  You need to pull out a matching pair of socks in the dark.  There is no light and you couldn't see the socks.  How many socks you should pull out in the dark to get one matching pair of socks?",five,six,three,two,four,0
"Instruction manual, to and fro, if it’s wrong you'll still go - what is it?",directions,ingredients,tbsp,comma,hyphen,0
It stands on one leg with its heart in its head. What is it?,escalator,cabbage,garlic,stairs,tomatoes,1
It breathes fire in fairytales.,drogon,raven,castle,dragon,goblin,3
Dinner Fruit Chicken Tuna,salads,sandwiches,veggies,green beans,broccoli,0
Bright Shimmery Beaming Aglow,gorgeous,amazing,awesome,brilliant,clever,3
"Hundreds of black smiths, in a dungeon with no doors or windows, when we leave, each of us builds his own dungeon.",banana,watermelon,cucumber,grape,pineapple,1
"Begin at the beginning, For foundation lay a square. Triangle isosceles, For walls you'll need two pair. Join the four together, Circling in a ring, And build a home eternal, Where sleeps our lifeless king.",pyramid,maze,Stonehenge,skyscraper,Sphinx,0
"I occur before this. I occur before that. I occur before Miss, and I occur before Chap. Though I'm before many, I am after some. Before you can answer, the day will be done! Who am I?",later,in,soon,after,before,4
"I make my mark on something of yours to make sure no one takes it. Sometimes I am so small that you can barely see me, but, beware! I'm there! I can appear in two different forms, and you'll C me on many boxes and cans.  What am I?",intellectual property,highway,patent,Atlantic,trade mark,4
What fruit always travels in groups of two?,apples,oranges,Aristotle,pears,Mozart,3
"Lighter than what I am made of, more of me is hidden than is seen. I am the bane of the mariner. A tooth within the sea.",island,ocean,iceberg,lava,glacier,2
